DateTime,Scheduled flights,Tracked flights
3/21/20,58,46
3/22/20,49,34
3/23/20,53,35
3/24/20,58,37
3/25/20,56,38
3/26/20,58,34
3/27/20,59,33
3/28/20,44,25
3/29/20,45,19
3/30/20,54,24
3/31/20,58,31
4/1/20,55,32
4/2/20,59,37
4/3/20,51,31
4/4/20,41,25
4/5/20,41,25
4/6/20,44,25
4/7/20,40,25
4/8/20,47,30
4/9/20,45,24
4/10/20,38,25
4/11/20,32,19
4/12/20,27,12
4/13/20,38,22
4/14/20,39,25
4/15/20,36,23
4/16/20,43,32
4/17/20,44,28
4/18/20,32,19
4/19/20,31,18
